,Address,Area,Bathrooms,Possession,Price,Project Name,Rooms,Status
674,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
675,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
676,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
677,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
678,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
679,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
680,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
681,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
682,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
683,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
684,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
685,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
686,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
687,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
688,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
689,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
690,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
691,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
692,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
693,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
694,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
695,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
696,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
697,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
698,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
699,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
700,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
701,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
702,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
703,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
704,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
705,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
